broker,size,rate,sent,received,lost,throughput,avg_latency,p95_latency,max_latency
rabbitmq,128,1000,1354,0,1354,0.0,0.0030355113647889177,0.005852341651916504,0.017525911331176758
rabbitmq,128,5000,1287,0,1287,0.0,0.0030445611652887045,0.006564664840698242,0.015645742416381836
rabbitmq,128,10000,1287,0,1287,0.0,0.002853616782650062,0.0056121826171875,0.016039133071899414
rabbitmq,1024,1000,1287,0,1287,0.0,0.0031231257372710164,0.006067657470703125,0.03302574157714844
rabbitmq,1024,5000,1447,0,1447,0.0,0.0026293123847629255,0.005183362960815429,0.016679763793945312
rabbitmq,1024,10000,1370,0,1370,0.0,0.0029109082952903137,0.005417823791503906,0.016800642013549805
rabbitmq,10240,1000,1303,0,1303,0.0,0.004053547486651429,0.010397386550903321,0.021646976470947266
rabbitmq,10240,5000,1293,0,1293,0.0,0.0034577874185867485,0.006886816024780274,0.01685023307800293
rabbitmq,10240,10000,1297,0,1297,0.0,0.0034298369217213064,0.0074854612350463865,0.022330760955810547
rabbitmq,102400,1000,1302,0,1302,0.0,0.006429577752741801,0.01507415771484375,0.07177567481994629
rabbitmq,102400,5000,1294,0,1294,0.0,0.00643289402426671,0.01495981216430664,0.03796505928039551
rabbitmq,102400,10000,1292,0,1292,0.0,0.007253568238887256,0.015546977519989014,0.10076427459716797
redis,128,1000,1298,0,1298,0.0,0.0018202507257094186,0.005798888206481933,0.017338275909423828
redis,128,5000,1298,0,1298,0.0,0.0016993657098896514,0.004857838153839111,0.026546239852905273
redis,128,10000,1339,0,1339,0.0,0.001514772945059334,0.004829883575439453,0.017078161239624023
redis,1024,1000,1340,0,1340,0.0,0.0017760515213012696,0.006650221347808838,0.019088268280029297
redis,1024,5000,1322,0,1322,0.0,0.0015867412901862487,0.005212461948394776,0.07361316680908203
redis,1024,10000,1339,0,1339,0.0,0.0013140759599840936,0.0037250518798828125,0.015438079833984375
redis,10240,1000,1296,0,1296,0.0,0.002132293066860717,0.005841219425201416,0.020516157150268555
redis,10240,5000,1357,0,1357,0.0,0.0019428311856072354,0.005691099166870117,0.026990175247192383
redis,10240,10000,1314,0,1314,0.0,0.0018908551113064793,0.005872130393981934,0.020108699798583984
redis,102400,1000,1292,0,1292,0.0,0.00430863948060263,0.01119309663772583,0.04529833793640137
redis,102400,5000,1342,0,1342,0.0,0.004284584930863359,0.011357522010803223,0.03284406661987305
redis,102400,10000,1286,1,1285,0.05,0.004565182592412732,0.012548351287841797,0.05374455451965332
